Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Niveau d'intragroupe;Non renseigné;Non renseigné;Contrats;Intragroup Level Cd;TEC_CONTRACT;INTRAGRP_LVL_CD
Indicateur sponsor financier majoritaire au capital;Non renseigné;Indicateur de présence d'un sponsor financier majoritaire sur opération de financement à effet de levier.;Contrats;Principal Capital Financial Sponsor Ind;TEC_CONTRACT;PRNCPAL_CPTL_FINCL_SPNSR_IND
Rates d'anticipation du prêt;Non renseigné;Rates d'intérêt annuel utilisé pendant la période d'anticipation;Contrats;Grace Period Rate;TEC_CONTRACT;GRC_PRD_RATE
Devise montant Tranche - niveau 2;Non renseigné;Non renseigné;"Tranches ""OMP""";Basel Tranche Level 2 Amt Currency Cd;TEC_IFRS9_TRANCHE;BSL_TRNCH_LVL_2_AMT_CURY_CD
Balancing Payment initiale en dev. de paiement - Jambe pay (euro);Non renseigné;"Montant contrevalorisé euro de la Balancing Payment de mise en place du SWAP :
     - Les encaissements seront signés ""+""
     - Les décaissements seront signés ""-""";Contrats;Borrowing Leg Initial Balancing Payment Euro Amt;TEC_CONTRACT;BORWG_LEG_INIT_BLNCG_PMT_EURO_AMT
Devise Montant Coupons courus non échus des titres reçus en garantie;Non renseigné;Devise du montant nominal des titres reçus en garantie;Garanties reçues;Received Collateral Investment Product Non Expired Coupon Amt Currency Cd;TEC_RECEIVED_GUARANTEE;RECVD_CLTRL_INVSTMT_PRD_NEXP_CPN_AMT_CURY_CD
Identifiant local accord netting;Non renseigné;Référence locale du contrat de netting.;Contrats;Netting Agreement Local Id;TEC_CONTRACT;NETG_AGMT_LOCL_ID
Indicateur garantie directe;Non renseigné;Indicateur permettant de préciser si la garantie est directe ou non.;Garanties reçues;Direct Guarantee Ind;TEC_RECEIVED_GUARANTEE;DIR_GUAR_IND
Agent économique;Non renseigné;Rubrique définissant le type de métier;Contrats;Economic Operator Cd;TEC_CONTRACT;ECONMC_OPRTR_CD
Pays emission titres;Non renseigné;Pays d'émission des titres.;Garanties reçues;Securities Issue Country Cd;TEC_RECEIVED_GUARANTEE;SCURTS_ISSU_CTRY_CD
Montant intérêts restant dus;Non renseigné;Montant des intérêts restant dus;"Tranches ""OMP""";Interest Outstanding Amt;TEC_IFRS9_TRANCHE;INT_OUTST_AMT
Montant maximum réalisable;Non renseigné;Valeur du montant maximum qui peut être débloqué, il est obligatoirement supérieur ou égal au montant réellement réalisé;Contrats;Maximum Achievable Amt;TEC_CONTRACT;MAXM_ACHIEVABLE_AMT
Granularité contrat;Non renseigné;"Permet de qualifier le niveau de granularité du contrat
Valeurs possibles : contrat granulaire (G), contrat agrégat (A)";Garanties reçues;Agreement Granularity Cd;TEC_RECEIVED_GUARANTEE;AGMT_GRNLT_CD
Montant chiffre affaires;Non renseigné;Chiffre d'Affaires utilisé pour la notation;Tiers;Turnover Amt;TEC_PARTY;TRNVR_AMT
Valeur note interne corporate origine;Non renseigné;"Note interne finale  à l'origine. Données de niveau Tiers mais stocké au niveau Contrat pour des questions de traçabilité (donnée à l'origine du contrat non nécessairement disponible dans le référentiel)
";Contrats;Original Internal Corporate Risk Grade Val;TEC_CONTRACT;ORIGNL_INTRNL_CORP_RISK_GRADE_VAL
Devise montant du MtM brut;Non renseigné;Non renseigné;Contrats;Gross Mark To Market Amt Currency Cd;TEC_CONTRACT;GRS_MK_TO_MKT_AMT_CURY_CD
Identifiant entité;Non renseigné;"Identifiant national de l’entité déclarante
Correspond au code consolidation comptable (sur 5 caractères)";Garanties reçues;Entity Id;TEC_RECEIVED_GUARANTEE;ENT_ID
Date notation Moody's;Non renseigné;Date de cotation;Tiers;External Rating Moody's Long Term Rating Dt;TEC_PARTY;EXTR_RTG_MOODY_S_LONG_TERM_RTG_DT
Couverture;Non renseigné;Permet de distinguer les opérations  micro/macro couverture/trading;Contrats;Hedging Cd;TEC_CONTRACT;HEDGING_CD
Type de RA applicable;Non renseigné;Indique le tye de RA applicable au contrat;Contrats;Early Withdrawal Type Cd;TEC_CONTRACT;EARLY_WDRWL_TYPE_CD
Montant global actualisé tranche autorisation (euro);Non renseigné;Montant révisé (après prise en compte des échéanciers) de la syndication pour la tranche en cours (toutes banques confondues), contrevalorisé en euro;Autorisation;Facility Tranche Updated Euro Amt;TEC_AUTORIZATION;FAC_TRNCH_UPDTD_EURO_AMT
Montant notionnel jambe achetée;Non renseigné;Montant notionnel de la jambe achetée;Contrats;Buy Leg Nominal Amt;TEC_CONTRACT;BUY_LEG_NMNL_AMT
Montant Nominal historique en devise - Jambe pay.;Non renseigné;Montant Nominal historique en devise (jambe payeuse);Contrats;Borrowing Leg Nominal Historical Amt;TEC_CONTRACT;BORWG_LEG_NMNL_HSTCL_AMT
Niveau d'intragroupe;Non renseigné;Non renseigné;Lignes d'autorisation;Intragroup Level Cd;TEC_AUTORIZATION_LINE;INTRAGRP_LVL_CD
Modalité de paiement des intérêts;Non renseigné;Indique si les intérêts sont payés ou capitalisés;Contrats;Interest Payment Modality Cd;TEC_CONTRACT;INT_PMT_MODALITY_CD
Top Bilan - Hors Bilan;Non renseigné;Top Bilan / Hors Bilan;"Tranches ""OMP""";Agreement Risk Off Balance Sheet Ind;TEC_IFRS9_TRANCHE;AGMT_RISK_OFF_BAL_SHET_IND
Devise Montant coupons courus non échus - Jambe prêt.;Non renseigné;Devise d'expression montant des coupons courus non échus de la jambe prêteuse.;Contrats;Lending Leg Non Expired Coupon Amt Currency Cd;TEC_CONTRACT;LENDG_LEG_NON_EXPRD_COUPN_AMT_CURY_CD
Coût de l'option en début de contrat (euro);Non renseigné;Non renseigné;Contrats;Initial Option Euro Amt;TEC_CONTRACT;INIT_OPTN_EURO_AMT
Valeur de marché du bien;Non renseigné;Valeur de marché du bien financé ou loué à la date d'évaluation;Contrats;Last Assessment Asset Market Value Amt;TEC_CONTRACT;LAST_ASESMT_ASSET_MKT_VAL_AMT
Global Groupe Code CPH;Non renseigné;Non renseigné;Tiers;CPH Group Cd;TEC_PARTY;CPH_GRP_CD
Durée deuxième Deferral;Non renseigné;"La durée du deuxième Deferral doit être renseignée et est également négociée lors de la conclusion du contract. La durée du Deferral est incluse dans la durée initiale du prêt.
Exprimée en mois.";Contrats;Second Deferral Duration Num;TEC_CONTRACT;SEC_DFRL_DURTN_NUM
Montant PNU (euro);Non renseigné;Non renseigné;Contrats;Undrawn Euro Amt;TEC_CONTRACT;UNDRWN_EURO_AMT
Catégorie contrepartie tiers garant;Non renseigné;Catégorie de contrepartie tiers garant;"Tranches ""OMP""";Guarantor Counterparty Category Cd;TEC_IFRS9_TRANCHE;GUARTR_CNTPTY_CTGY_CD
Montant  du bien à l'octroi (euro);Non renseigné;Non renseigné;Contrats;Granting Asset Value Euro Amt;TEC_CONTRACT;GRNTNG_ASSET_VAL_EURO_AMT
Indicateur actif coté - Jambe prêteuse;Non renseigné;Non renseigné;Contrats;Lending Leg Quoted Asset Ind;TEC_CONTRACT;LENDG_LEG_QUOTD_ASSET_IND
Indicateur palier fourni;Non renseigné;"Indicateur permettant d'indiquer que les données nécessaires au calcul de l'échéancier à date sont reportées dans l'objet PALIER (ou autre objet 'technique').
les caractéristiques permettant de reconstituer l’échéancier sont dans ce cas facultatif";Contrats;Schedule Stage Provided Ind;TEC_CONTRACT;SCHD_STGE_PRVDD_IND
Indicateur Différé carte de paiement;Non renseigné;Permet de distinguer les différés de paiement sur cartes de crédit Corporate;Contrats;Credit Card Deferred Payment Ind;TEC_CONTRACT;CR_CARD_DFRD_PMT_IND
Note GRP;Non renseigné;"Note attribuée par le système interne/local  de notation de l'entité
Il peut s'agir aussi d'un GRADE (regroupement de notes)";Tiers;Risk Group Grade Val;TEC_PARTY;RISK_GRP_GRADE_VAL
Libellé Nature juridique de la sûreté;Non renseigné;Non renseigné;Garanties reçues;Legal Nature Lb;TEC_RECEIVED_GUARANTEE;LEGL_NATR_LB
Périodicité révision taux;Non renseigné;La périodicité de révision d’un crédit à taux variable est la fréquence de révision du taux du prêt. Elle est à renseigner pour les prêts autres que prêts à taux fixe, y compris lorsque le prêt est sur la dernière période.;Paliers;Rate Review Periodicity Cd;TEC_SCHEDULE_STAGE;RATE_RVW_PERIODCITY_CD
Indicateur bilan hors bilan;Non renseigné;Indicateur bilan / hors bilan;Contrats;Off Balance Sheet Ind;TEC_CONTRACT;OFF_BAL_SHET_IND
Circuit distribution;Non renseigné;Circuit de distribution;Contrats;Distribution Method Cd;TEC_CONTRACT;DSTRBN_METH_CD
Taux marge multiplicative;Non renseigné;Taux de marge en complément de l’indice de référence;Contrats;Multiplicative Margin Rate;TEC_CONTRACT;MLTPLTV_MRGN_RATE
Classification comptable norme locale;Non renseigné;Classification comptable en norme locale;Contrats;Local Accounting Classification Cd;TEC_CONTRACT;LOCL_ACCNTG_CLASFCN_CD
Date de signature du contrat initial;Non renseigné;Date de signature du contrat initial;Contrats;Init Agreement Signed Dt;TEC_CONTRACT;INIT_AGMT_SIGND_DT
TCI Composante Taux;Non renseigné;Non renseigné;Contrats;Internal Transfert Price - Rate Component Rate;TEC_CONTRACT;INTRNL_TFRT_PRC_RATE_COMPT_RATE
Indicateur pré - post fixé;Non renseigné;"Iindique l’utilisation pré ou post fixé de l’index du palier
";Contrats;Pre Post Set Ind;TEC_CONTRACT;PRE_POST_SET_IND
Type relation;Non renseigné;Définit le type de relation entre une contrepartie et un déclarant (client, garant, prospectœ.). Lorsque l'entité entretient avec une contrepartie des relations de plusieurs types (par exemple, la contrepartie est à la fois cliente de l'entité et l'émetteur de titres détenus par l'entité) elle déclare le type de relation du niveau le plus élevé.;Tiers;Main Relationship Type Cd;TEC_PARTY;MN_RLTNSHP_TYPE_CD
Droit applicable;Non renseigné;Détermination du pays dans lequel le tribunal sera compétent pour régler le litige.;Garanties reçues;Applicable Law Country Cd;TEC_RECEIVED_GUARANTEE;APLCBL_LAW_CTRY_CD
Indicateur engagement douteux;Non renseigné;Indicateur permettant de préciser si l'opération est comptabilisée en engagement douteux ou non.;Contrats;Doubtful Debt Ind;TEC_CONTRACT;DBTFL_DEBT_IND
Groupe Pays Tiers garant;Non renseigné;Groupe Pays se référant au Tiers garant;"Tranches ""OMP""";Guarantor Country Group Cd;TEC_IFRS9_TRANCHE;GUARTR_CTRY_GRP_CD
Devise montant cours spot;Non renseigné;Devise montant cours spot;Contrats;Spot Price Amt Currency Cd;TEC_CONTRACT;SPOT_PRC_AMT_CURY_CD
Pourcentage de capitalisation des intérêts;Non renseigné;Pourcentage des intérêts capitalisés après prise en compte de la fiscalité;Contrats;Interest Capitalization Rate;TEC_CONTRACT;INT_CPTLZN_RATE
Top subordonné;Non renseigné;Top Subordonné;"Tranches ""OMP""";Subordinate Ind;TEC_IFRS9_TRANCHE;SBORD_IND
Montant Add-on CAD (euro);Non renseigné;Montant Add-on CAD;Contrats;CAD Addon Euro Amt;TEC_CONTRACT;CAD_ADDON_EURO_AMT
Valeur point attachement;Non renseigné;Valeur du point d'attachement (%). Spécifique grands risques;Contrats;Attachment Point Val;TEC_CONTRACT;ATACHMT_PNT_VAL
Eligibilité actif sous jacent std;Non renseigné;Ce champ permet d’indiquer si les actifs de référence des CDS et TRS sont éligibles selon les règles de la méthode STD;Contrats;Underlying Investment Product STD Eligibility Cd;TEC_CONTRACT;UNDRLY_INVSTMT_PROD_STD_ELGBLY_CD
Montant Add-on affacturage (euro);Non renseigné;Non renseigné;Lignes d'autorisation;Purchased Receivable Premium Euro Amt;TEC_AUTORIZATION_LINE;PRCHD_RECVBL_PREM_EURO_AMT
Taux CCF;Non renseigné;Crédit conversation factor;Contrats;Credit Conversion Rate;TEC_CONTRACT;CR_CNVRSN_RATE
Période liquidation 20j;Non renseigné;Période de liquidation 20 j;Contrats;Liquidation Period 20d Cd;TEC_CONTRACT;LQDTN_PRD_20D_CD
Libellé catégorie de contrepartie;Non renseigné;"Libellé de la catégorie de contrepartie du tiers.
La catégorie de contrepartie est une segmentation détaillée des tiers utilisée pour déterminer les catégories d'exposition réglementaires";Tiers;Counterparty Category Lb;TEC_PARTY;CNTPTY_CTGY_LB
Nature opération intérêts dûs - coupons non échus;Non renseigné;Correspond à la classification des intérêts selon la nomenclature Groupe CA NATO commune aux Risques et à la Comptabilité.;Contrats;Non Expired Coupon Due Interest Operation Nature Cd;TEC_CONTRACT;NON_EXPRD_COUPN_DUE_INT_OPRTN_NATR_CD
Montant coût acquisition;Non renseigné;Montant du coût d'acquisition;"Tranches ""OMP""";Acquisition Cost Amt;TEC_IFRS9_TRANCHE;ACQ_COST_AMT
Taux nominal - Jambe prêteuse;Non renseigné;Non renseigné;Contrats;Lending Leg Nominal Rate;TEC_CONTRACT;LENDG_LEG_NMNL_RATE
Mode amortissement;Non renseigné;Mode d'amortissement du palier;Paliers;Amortization Method Cd;TEC_SCHEDULE_STAGE;AMRTZN_METH_CD
Devise Montant Nominal titres - jambe prêt.;Non renseigné;Devise d'expression montant du nominal  des titres de la jambe prêteuse.;Contrats;Lending Leg Investment Product Nominal Amt Currency Cd;TEC_CONTRACT;LENDG_LEG_INVSTMT_PROD_NMNL_AMT_CURY_CD
Date première échéance;Non renseigné;Cette donnée est nécessaire si la première échéance du palier n'est pas conforme à la périodicité de calcul/paiement des intérêts appliquée à la date de début de palier;Paliers;First Payment Dt;TEC_SCHEDULE_STAGE;FRST_PMT_DT
Date révision montant contrat;Non renseigné;Date de révision de la sûreté;Garanties reçues;Agreement Revised Amt Dt;TEC_RECEIVED_GUARANTEE;AGMT_RVSD_AMT_DT
Indicateur clause remboursement anticipe;Non renseigné;Clause de remboursement anticipé.;Contrats;Early Repayment Clause Ind;TEC_CONTRACT;EARLY_RPMT_CLAUS_IND
Découpage Métier 3;Non renseigné;PEMP 115;Contrats;Business Line 3 Cd;TEC_CONTRACT;BUSN_LN_3_CD
Produit (référence filiale);Non renseigné;Permet d'identifier le produit dans la filiale gestionnaire (plus particulièrement chez CA-Titres);Contrats;Local Product Cd;TEC_CONTRACT;LOCL_PROD_CD
Zone risque Tiers initial;Non renseigné;Zone de risque se référant au Tiers initial;"Tranches ""OMP""";Original Counterparty Risk Area Cd;TEC_IFRS9_TRANCHE;ORIGNL_CNTPTY_RISK_AREA_CD
Quantité titres;Non renseigné;Quantité de titres du sous-jacent titre;Contrats;Security Qty;TEC_CONTRACT;SCURTY_QTY
Montant Accessoires ou CCNE;Non renseigné;Montant des accessoires ou des CCNE en devise;Contrats;Commission Amt;TEC_CONTRACT;COMS_AMT
Identifiant du Tiers Emetteur du sous jacent;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Contrats;Underlying Issuer Party Id;TEC_CONTRACT;UNDRLY_ISSUR_PRTY_ID
Montant Encours en Surendettement (euro);Non renseigné;"Partie entière du montant.
Correspond à la somme des montants d'encours ICNE compris des dossiers faisant l'objet d'un plan de Surendettement de type 'Neiertz'.";Contrats;Over Indebted Euro Amt;TEC_CONTRACT;OVR_INDEBTED_EURO_AMT
Client bancaire;Non renseigné;Client bancaire détenteur du contrat;Echéanciers;Host Party Num;TEC_SCHEDULE;HOST_PRTY_NUM
Type d'équity swap;Non renseigné;Non renseigné;Contrats;Equity Swap Type Cd;TEC_CONTRACT;EQTY_SWAP_TYPE_CD
Valeur note transaction autorisée;Non renseigné;Permet de tenir compte du contexte particulier de l'opération afin de modifier (en général améliorer) la note qui sera prise en compte pour qualifier le risque pris par l'établissement.;Lignes d'autorisation;Authorized Transaction Rating Val;TEC_AUTORIZATION_LINE;AUTHZD_TSACTN_RTG_VAL
Date entrée défaut;Non renseigné;Il s'agit de la Date d'entrée en défaut du Tiers;Tiers;Default Dttm;TEC_PARTY;DFLT_DTTM
Phase à la Date d'arrêté;Non renseigné;Indique la phase dans laquelle se trouve le contrat à la Date d'arrêté;Contrats;Stage Cd;TEC_CONTRACT;STGE_CD
Devise montant du versement initial;Non renseigné;Non renseigné;Contrats;Initial Payment Amt Currency Cd;TEC_CONTRACT;INIT_PMT_AMT_CURY_CD
Montant part en risque tranche en cours;Non renseigné;Part en risque (montant) de l'entité pour la tranche en cours;Autorisation;Current Tranche Risk Part Amt;TEC_AUTORIZATION;CUR_TRNCH_RISK_PRT_AMT
Devise montant révisé;Non renseigné;Devise de montant du contrat à l’origine;Lignes d'autorisation;Revised Amt Currency Cd;TEC_AUTORIZATION_LINE;RVSD_AMT_CURY_CD
Date revalorisation bien;Non renseigné;Date de revalorisation du bien financé ou loué;Contrats;Asset Review Dt;TEC_CONTRACT;ASSET_RVW_DT
Prochaine date de fixing - Jambe emprunteuse;Non renseigné;Non renseigné;Contrats;Borrowing Leg Fixing Next Dt;TEC_CONTRACT;BORWG_LEG_FIXG_NXT_DT
Montant ICNE;Non renseigné;Somme des intérêts courus non échus à la Date d'arrêté;Contrats;Accrued Interest Not Due Amt;TEC_CONTRACT;ACRUD_INT_NOT_DUE_AMT
Montant coût d'acquisition (euro);Non renseigné;Montant du coût d'acquisition en euros;"Tranches ""OMP""";Acquisition Cost Euro Amt;TEC_IFRS9_TRANCHE;ACQ_COST_EURO_AMT
Référence locale contrat;Non renseigné;Référence unique du contrat dans le système de gestion local de l'entité remettante;Autorisation;Host Agreement Num;TEC_AUTORIZATION;HOST_AGMT_NUM
Portefeuille bâlois opération encours;Non renseigné;PTF_Bâle Opération de l'encours;"Tranches ""OMP""";Basel Portfolio Cd;TEC_IFRS9_TRANCHE;BSL_PTFOL_CD
Montant Seuil de déclenchement de l'appel de marge (euro);Non renseigné;Montant Seuil de déclenchement de l'appel de marge en contrevaleur euro;Contrats;Margin Call Triggering Threshold Euro Amt;TEC_CONTRACT;MRGN_CALL_TRIGRING_THRSH_EURO_AMT
Identifiant local contrat;Non renseigné;Identifiant technique local du contrat;Garanties reçues;Host Received Guarantee Id;TEC_RECEIVED_GUARANTEE;HOST_RECVD_GUAR_ID
Type premier Deferral;Non renseigné;"Ce Deferral est un aménagement du remboursement du prêt, négocié lors de la conclusion du contract.
Il peut être soit : total (Deferral d’amortissement du capital et de paiement des intérêts), partiel (Deferral d’amortissement du capital).
Des règles de codification spécifiques sont applicables aux prêts Deferrals :
- Si le 1er Deferral est un Deferral total, alors le 2nd Deferral ne peut être qu'un Deferral d'amortissement.
- Si le 1er Deferral est un Deferral d'amortissement, alors il ne peut y avoir de 2nd Deferral.";Contrats;First Deferral Type Cd;TEC_CONTRACT;FRST_DFRL_TYPE_CD
Devise valeur estimée bien loué - fin période;Non renseigné;Devise d’expression de la Valeur Résiduelle  - crédit-bail.;Contrats;Agmt Asset Lease Residual Amt Currency Cd;TEC_CONTRACT;AGMT_ASSET_LEAS_RSDUL_AMT_CURY_CD
Montant Intérêts dus à l'échéance (euro);Non renseigné;Montant des intérêts dus à l'échéance, en contrevaleur euro;Echéanciers;Schedule Interest Euro Amt;TEC_SCHEDULE;SCHD_INT_EURO_AMT
Ratio emprise;Non renseigné;Ratio d'emprise;Contrats;Control Rate;TEC_CONTRACT;CNTRL_RATE
Indicateur compensation centrale;Non renseigné;Indicateur de compensation centralisée de l’opération, de manière directe (face à une CCP) ou de manière indirecte (face à un courtier compensateur, lui-même membre d’une CCP);Contrats;Centralized Compensation Ind;TEC_CONTRACT;CENTRLZD_CMPSTN_IND
Prochaine date de  fixing de l'index;Non renseigné;"Cette rubrique est à renseigner pour les prêts dont le taux est indexé. 
Lorsque le prêt est sur la dernière période, cette date n'est pas à renseigner.";Contrats;Fixing Next Dt;TEC_CONTRACT;FIXG_NXT_DT
Indicateur dépôts « exceptionnels »;Non renseigné;Non renseigné;Contrats;Exceptional Deposit Ind;TEC_CONTRACT;EXCPTNAL_DEP_IND
Montant valeur estimée bien loué fin période (euro);Non renseigné;Non renseigné;Contrats;Agmt Asset Lease Residual Euro Amt;TEC_CONTRACT;AGMT_ASSET_LEAS_RSDUL_EURO_AMT
Indicateur pré - post fixé;Non renseigné;"Iindique l’utilisation pré ou post fixé de l’index du palier
";Paliers;Pre Post Set Ind;TEC_SCHEDULE_STAGE;PRE_POST_SET_IND
Date passage engagement douteux;Non renseigné;Date du passage en engagement douteux.;Contrats;Doubtful Debt Start Dt;TEC_CONTRACT;DBTFL_DEBT_STRT_DT
Indentiant Tiers Pilote;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Autorisation;Pilot Party Id;TEC_AUTORIZATION;PILOT_PRTY_ID
Durée restant à étaler sur la Balancing Payment de dénouement;Non renseigné;Non renseigné;Contrats;Unwinding Balancing Payment Remaining Period Num;TEC_CONTRACT;UNWINDING_BLNCG_PMT_RMNG_PRD_NUM
Devise valeur estimée en fin de période du bien loué;Non renseigné;Devise de la Valeur estimé en fin de période du bien loué;"Tranches ""OMP""";Agmt Asset Lease Residual Amt Currency Cd;TEC_IFRS9_TRANCHE;AGMT_ASSET_LEAS_RSDUL_AMT_CURY_CD
Taux brut à la date d'arreté;Non renseigné;"Taux du contrat à la Date d'arrêté.
 for les PEL ce taux correspond au taux d'interet hors prime";Contrats;Gross Rate;TEC_CONTRACT;GRS_RATE
Encours moyen mensuel débiteur (euro);Non renseigné;"Somme des encours journaliers divisé par le nombre de jours dans le mois. 
Remarque : L’encours moyen mensuel est à renseigner :
- soit avec l’encours moyen en date de valeur pour les OC, les découverts et les effets commerciaux ou financiers.
- soit avec l’encours moyen en date d’opération, pour les autres prêts.";Contrats;Month Average Outstanding Debit Euro Amt;TEC_CONTRACT;MTH_AVG_OUTST_DR_EURO_AMT
Montant d'hypothèque (euro);Non renseigné;Non renseigné;Garanties reçues;Mortgage Euro Amt;TEC_RECEIVED_GUARANTEE;MORTG_EURO_AMT
Etendue sûreté;Non renseigné;Permet de déterminer si la sûreté reçue couvre la totalité des engagements d’une contrepartie, uniquement ceux couverts par une autorisation X, ou s’il s’agit d’une sûreté spécifique à une ligne de détail d’autorisation.;Garanties reçues;Collateral Coverage Cd;TEC_RECEIVED_GUARANTEE;CLTRL_CVGE_CD
Identifiant entité;Non renseigné;"Identifiant national de l’entité déclarante
Correspond au code consolidation comptable (sur 5 caractères)";Contrats;Entity Id;TEC_CONTRACT;ENT_ID
Numéro de compte PCCO de l'encours en norme IAS;Non renseigné;Numéro de compte PCCO de l'encours en norme IAS;Contrats;Outstanding Amt COA Cd;TEC_CONTRACT;OUTST_AMT_COA_CD
Date d'arrêté;Non renseigné;Non renseigné;Echéanciers;Statement Dt;TEC_SCHEDULE;STTM_DT
Montant Provision affecté à Encours sur tiers en défaut - niveau 2;Non renseigné;Non renseigné;"Tranches ""OMP""";Provision On Default Third Party Level 2 Amt;TEC_IFRS9_TRANCHE;PRVSN_ON_DFLT_THIRD_PRTY_LVL_2_AMT
Nombre de garanties reçues pour la ligne d'autorisation;Non renseigné;Non renseigné;Garanties reçues;Calculated Received Guarantee Associated To Authorization Line Nb;TEC_RECEIVED_GUARANTEE;CALCD_RECVD_GUAR_ASSOCD_TO_AUTHZTN_LN_NB
Découvert autorisé en devise d'origine;Non renseigné;Montant de l’autorisation de découvert;Contrats;Authorized Overdraft Balance Amt;TEC_CONTRACT;AUTHZD_OVRDRFT_BAL_AMT
Prix unitaire historique du titre (euro);Non renseigné;Pour les obligations, prix exprimé en pourcentage, pour les actions et les UCITS prix exprimé en unité de devise;Contrats;Security Unitary Historical Euro Amt;TEC_CONTRACT;SCURTY_UNITRY_HSTCL_EURO_AMT
Jambe prêteuse : Indice titres prêt;Non renseigné;Code de l'indice de pêt jambes prêteuse;Contrats;Lending Leg Stock Index Cd;TEC_CONTRACT;LENDG_LEG_STK_INDX_CD
Valeur maturité résiduelle;Non renseigné;Partie entière de la maturité;Contrats;Residual Maturity Val;TEC_CONTRACT;RSDUL_MATURTY_VAL
Montant CA de la contrepartie initiale (euro);Non renseigné;Montant de CA en million d'euros de la contrepartie initiale (euro), Seuil de déclenchement de l'appel de marge;"Tranches ""OMP""";Original Counterparty Turnover Euro Amt;TEC_IFRS9_TRANCHE;ORIGNL_CNTPTY_TRNVR_EURO_AMT
Unité mesure quantité à livrer;Non renseigné;Unité de mesure de la quantité de matières premières à livrer;Contrats;Sell Notional UOM Type Cd;TEC_CONTRACT;SEL_NOTL_UOM_TYPE_CD
Indicateur hiérarchie juste valeur;Non renseigné;Indicateur du mode de valorisation de la juste valeur de l'instrument financier;Contrats;Prudent Valuation Mode Ind;TEC_CONTRACT;PRUDNT_VALUT_MODE_IND
Bucket IFRS9;Non renseigné;Permet d'indiquer le classement de l'encours en norme IFRS9;Contrats;IFRS9 Bucket Outstanding Rank Cd;TEC_CONTRACT;IFRS9_BCKT_OUTST_RANK_CD
Devise Montant global du nominal des titres;Non renseigné;Devise dans laquelle le contrat a été signé;Contrats;Securities Global Nominal Amt Currency Cd;TEC_CONTRACT;SCURTS_GLOBL_NMNL_AMT_CURY_CD
Montant coût acquisition;Non renseigné;Montant coût d'acquistion;Contrats;Acquisition Cost Amt;TEC_CONTRACT;ACQ_COST_AMT
Description de l'entité;Non renseigné;Non renseigné;Entités et pôles;Entity Short Desc;TEC_ENTITY;ENT_SHRT_DESC
Date notation S1P;Non renseigné;Date de cotation;Tiers;External Rating S&P Long Term Rating Dt;TEC_PARTY;EXTR_RTG_S_P_LONG_TERM_RTG_DT
Séniorité des titres émis;Non renseigné;L'information permet de définir le niveau de séniorité pour les différentes tranches des ABS (Tranche avec le rang le plus élevé / Tranche mezzanine / Tranche de première perte);Contrats;Issued Securities Maturity Cd;TEC_CONTRACT;ISSUD_SCURTS_MATURTY_CD
Mode titrisation;Non renseigné;Indicateur du mode de titrisation;Contrats;Securitization Mode Cd;TEC_CONTRACT;SCURTZN_MODE_CD
Périodicité réévaluation;Non renseigné;Périodicité de réévaluation de l'opération (patte prêteuse / patte emprunteuse);Contrats;Reassessment Periodicity Cd;TEC_CONTRACT;REASESMT_PERIODCITY_CD
Devise montant palier;Non renseigné;Devise du montant du palier à amortir;Paliers;Schedule Stage Currency Cd;TEC_SCHEDULE_STAGE;SCHD_STGE_CURY_CD
Prix exercice;Non renseigné;Prix d'exercice;Contrats;Exercise Price Amt;TEC_CONTRACT;EXRCS_PRC_AMT
Identifiant contrat;Non renseigné;"Permet d'identifier de manière unique le contrat dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Garanties reçues Autorisation LINE;Received Guarantee Id;TEC_RCVD_GUAR_AUT_LINE;RECVD_GUAR_ID
Devise montant encours douteux compromis;Non renseigné;Devise du capital théorique restant dû;Contrats;Doubtful Debt Part Currency Cd;TEC_CONTRACT;DBTFL_DEBT_PRT_CURY_CD
Contrepartie finale tranche niveau 2;Non renseigné;Contrepartie finale de la tranche de niveau 2;"Tranches ""OMP""";Final Counterpart Level 2 Num;TEC_IFRS9_TRANCHE;FNL_CNTRPRT_LVL_2_NUM
Sous-type contrat exposition;Non renseigné;"Permet d'identifier le sous-type du contrat d'exposition
S'il y a lieu, à chaque sous-type correspond une table fille ans le modèle de données de la Zone de Partage
Ex : Investissement (I), Crédit (C)";Lignes d'autorisation;Exposure Subtype Cd;TEC_AUTORIZATION_LINE;EXPSR_SBTYPE_CD
Montant Coupons courus non échus (cessions tempo. de titres) - Jambe empr.;Non renseigné;Signe du montant, partie entière, partie décimale;Contrats;Borrowing Leg Non Expired Coupon Amt;TEC_CONTRACT;BORWG_LEG_NON_EXPRD_COUPN_AMT
